title,tvmaze_id,genres,summary,runtime,average_runtime,premiered,language,status,network_country,rating_avg,rating_count,popularity,show_type,cast,characters,crew,episode_count,my_rating,watch_count,year_watched,tmdb_id,overview,tagline,poster_path,backdrop_path,vote_average,vote_count,first_air_date,last_air_date,number_of_seasons,number_of_episodes,processing_status
Dragon Ball Z,2103,Action|Adventure|Anime|Fantasy,"Now happily married and with a son, martial arts champion Goku must defend Earth from a series of extraterrestrial invaders bent on destruction.",30,30,32624,Japanese,Ended,Japan,7.9,,98,Animation,Masako Nozawa|Masako Nozawa|Mayumi Tanaka|Ryo Horikawa|Hiromi Tsuru|Toshio Furukawa|Naoko Watanabe|Mayumi Shou|Tōru Furuya|Kōhei Miyauchi|Hirotaka Suzuoki|Kouichi Yamadera|Ryusei Nakao|Takeshi Kusao|Hiro Yuuki|Tomiko Suzuki|Jouji Yanami|Masako Nozawa|Hiroko Emori|Daisuke Gori|Naoki Tatsuta|Yuko Minaguchi|Miki Itou|Daisuke Gori|Takeshi Kusao|Naoko Watanabe|Kōzō Shioya|Shōzō Iizuka|Hirotaka Suzuoki|Shigeru Nakahara|Norio Wakamoto|Tomiko Suzuki|Yuko Minaguchi|Megumi Urawa|Hiromi Tsuru,Son Gohan|Son Goku|Krillin|Vegeta|Bulma|Piccolo|Chi-Chi|Chi-Chi|Yamcha|Master Roshi|Tenshinhan|Tenshinhan|Freeza|Trunks|Dende|Dende|Kaiō|Son Goten|Chiaotzu|Mister Satan|Oolong|Videl|Artificial Human No. 18|Ox-King|Future Trunks|Puar|Majin Buu|Nappa|Announcer|Artificial Human No. 17|Cell|Marron|Pan|Uub|Bra,Atsushi Maekawa|Akira Toriyama|Akira Toriyama|Yoshihiro Ueda|Takahiro Imamura|Shingo Ishikawa|Tomoko Yoshida|Masashi Kubota|Kazuhito Kikuchi|Osamu Kasai|Naoki Miyahara,291,1,0,2021,12971,"Now happily married and with a son, martial arts champion Goku must defend Earth from a series of extraterrestrial invaders bent on destruction.",,https://image.tmdb.org/t/p/w500/i1lMlxir5E4jyeLlqS2bK1Cn3Tt.jpg,https://image.tmdb.org/t/p/w500/ydf1CeiBLfdxiyNTpskM0802TKl.jpg,8.353,4716,1989-04-26,1996-01-31,9,291,COMPLETE
Mythic Quest,41530,Comedy,"Meet the team behind the biggest multiplayer video game of all time. But in a workplace focused on building worlds, molding heroes, and creating legends, the most hard-fought battles don’t occur in the game—they happen in the office.",,27,43868,English,Ended,United States,7.5,,98,Scripted,Rob McElhenney|Ashly Burch|Charlotte Nicdao|Imani Hakim|David Hornsby|Danny Pudi|Jessie Ennis|Naomi Ekperigin|F. Murray Abraham|Jake Johnson|Cristin Milioti,"Ian Grimm|Rachel Meyee|Poppy Li|Dana Bryant|David Brittlesbee|Brad Bakshi|Jo|Carol|C.W. Longbottom|""Doc"" Michael|Bean",Steve Welch|David Hornsby|Megan Ganz|Megan Ganz|Chris Smirnoff|Rob McElhenney|Rob McElhenney|Michael Rotenberg|Jason Altman|Jeff Luini|Charlie Day|Charlie Day|Richard Luke Rothschild|David Gordon Green|Kelly Cantley-Kashima|Ashly Burch|Jeanne McCarthy|Nicole Abellera Hallman|Aparna Nancherla|Andy Gowan|Nicholas Frenkel|Diego Gat|Samuel Ejnes|Danielle Kreinik|Mark Worthington|Joe Deveau|Kasia Trojak|John Howell Harris|Jordan Temple|Craig Mazin|Matthew E. Taylor|Mike Berlucchi|Gérard Guillemot|Sean Palsgaard|Bryan Swarberg|Takeshi Furukawa|Aaron Geary|Benjamin Steiner|Sabrina Rosen|Erin Ryan,38,3.5,1,2021,94951,"Meet the team behind the biggest multiplayer video game of all time. But in a workplace focused on building worlds, molding heroes, and creating legends, the most hard-fought battles don’t occur in the game—they happen in the office.",Reaching epic new heights.,https://image.tmdb.org/t/p/w500/7QxQlpqEjx3vRpEtuh6Y0R6eY9O.jpg,https://image.tmdb.org/t/p/w500/cP82Jtvn7DwVt0mWaDFm7QhWHez.jpg,7.249,418,2020-02-07,2025-03-25,4,40,COMPLETE
Gravity Falls,396,Adventure|Mystery|Supernatural,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",30,30,41075,English,Ended,United States,8.9,,95,Animation,Jason Ritter|Kristen Schaal|Alex Hirsch|Alex Hirsch|Linda Cardellini|Alex Hirsch|Alex Hirsch,Dipper Pines|Mabel Pines|Grunkle Stan|Soos|Wendy|Quentin Trembley|Old Man McGucket,Alex Hirsch|Alex Hirsch|Brian Doell|Rob Renzetti|Suzanna Olson|Suzanna Olson|Tobias Conan Trost|Brad Breeck|Kevin Locarro|Sara Jane Sherman|Ian Worrel,40,4,1,2021,40075,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.",Just west of weird.,https://image.tmdb.org/t/p/w500/my3IKg5kSCn1Swf07hewcZKJS3K.jpg,https://image.tmdb.org/t/p/w500/lhg7eA6CTOCL10QNVdKiyxkgPsL.jpg,8.602,3310,2012-06-15,2016-02-15,2,40,COMPLETE
Solar Opposites,38432,Comedy|Science-Fiction,"A family of aliens from a much better world must take refuge in middle America after the destruction of their planet. Their mission: protect the Pupa, a living super computer that will one day evolve into its true form, consume them and terraform the Earth.",,23,43959,English,Running,United States,7,,97,Animation,Thomas Middleditch|Justin Roiland|Dan Stevens|Sean Giambrone|Mary Mack|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland|Justin Roiland,Terry|Korvo|Korvo|Yumyulack|Jesse|Red Goobler|Talking Bass|Esports Guy|Eddie|Man on Radio,Anthony Chun|Anthony Chun|Dominic Dierkes|Grace Parra|Matt McKenna|Josh Bycel|Justin Roiland|Justin Roiland|Dave Jeser|Matt Silverstein|Matthew Libman|Daniel Libman|Mike McMahan|Mike McMahan|Richard Grieve|Lee Harting|J. Michael Mendel|Jen D'Angelo|Danielle Uhlarik|Ruth Lambert|Ryan Elder|Konrad Pinon|Hunter Curra|Chris Westlake|Chris Westlake|Sydney Ryan|Robert McGee|Sean O'Connor|Joe Saunders|Joe Saunders|Joe Saunders|Rick Mischel|Nathalie Levesque|Garrick Bernard|Garrick Bernard|Juan Cruz Baldassarre|Paul Rigg|Jen McCartney|Jen McCartney|Vidhya Iyer|Ariel Ladensohn|Ariel Ladensohn|Tina Chow|Chaos Chaos|Andrew Davies|Erica Z. Tucker,49,3,1,2021,97645,"A family of aliens from a much better world must take refuge in middle America after the destruction of their planet. Their mission: protect the Pupa, a living super computer that will one day evolve into its true form, consume them and terraform the Earth.",Buckle up for another crazy ride.,https://image.tmdb.org/t/p/w500/m431Q9FgkilJGxBnXSot4Gy87b2.jpg,https://image.tmdb.org/t/p/w500/1cVt0Tm7erwYT5lyae9vUkPr4XY.jpg,7.801,572,2020-05-08,2025-10-13,6,59,COMPLETE
The Falcon and The Winter Soldier,41749,Action|Science-Fiction,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",,50,44274,English,Ended,United States,7.3,,97,Scripted,Sebastian Stan|Anthony Mackie|Wyatt Russell|Erin Kellyman|Daniel Brühl|Adepero Oduye|Danny Ramirez|Emily VanCamp|Georges St-Pierre|Florence Kasumba|Julia Louis-Dreyfus|Don Cheadle,"Bucky Barnes / Winter Soldier|Sam Wilson / Falcon|John Walker|Karli Morgenthau|Helmut Zemo|Sarah Wilson|Joaquin Torres|Sharon Carter|Batroc|Ayo|Valentina Allegra de Fontaine|James ""Rhodey"" Rhodes",Kari Skogland|Raymond Chan|Louis D'Esposito|Kevin Feige|Henry Jackman|Malcolm Spellman|Malcolm Spellman|Matthew Wood|P.J. Dillon|Ariella Blejer|Dawn Kamoche|Michael Kastelein|Derek Kolstad|Kelley Dixon|Sarah Halley Finn|Sarah Halley Finn|Bonnie Wild|Bonnie Wild|Tony Villaflor|Jeffrey Ford|Victoria Alonso|Trevor Waterson|Dave Jordan|Nate Moore|Zoie Nagelhout|Helen Pollak|Helen Pollak|Michael Crow|Eric Leven|Jason B. Stamey|Douglas Plasse|Tom Brewster|Michael C. May|Dalan Musson,6,3,1,2021,88396,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",Honor the shield.,https://image.tmdb.org/t/p/w500/6kbAMLteGO8yyewYau6bJ683sw7.jpg,https://image.tmdb.org/t/p/w500/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,7.612,8753,2021-03-19,2021-04-23,1,6,COMPLETE
Loki,41007,Action|Adventure|Science-Fiction,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",,50,44356,English,Ended,United States,8,,99,Scripted,Tom Hiddleston|Owen Wilson|Sophia Di Martino|Wunmi Mosaku|Gugu Mbatha-Raw|Tara Strong|Eugene Cordero|Neil Ellice|Ke Huy Quan|Rafael Casal|Sasha Lane|Kate Dickie|Liz Carr|Jack Veal|Deobia Oparei|Eugene Cordero|Richard Dixon,Loki|Mobius M. Mobius|Sylvie|Hunter B-15|Ravonna Lexus Renslayer|Miss Minutes|Casey|Hunter D-90|OB|Hunter X-5|Hunter C-20|General Dox|Judge Gamble|Kid Loki|Boastful Loki|Hunter K-5E|Robber Baron,Justin Benson|David Acord|Tom Hiddleston|Louis D'Esposito|Kevin Feige|Tom Kauffman|Trish Stanard|Trish Stanard|Brett Maline|Matthew Wood|Karol Urban|Tommy Turtle|Tommy Turtle|Kristina M. Peterson|Krista Husar|Isaac Bauman|Jess Dweck|Richard Graves|Sarah Halley Finn|Sarah Halley Finn|Kate Herron|Michael Waldron|Michael Waldron|Meghan Certo|Rachel Sydney Alter|Richard Armstrong|Bisha K. Ali|Bonnie Wild|Trygge Toven|Aaron Moorhead|Victoria Alonso|Trevor Waterson|Dave Jordan|Danielle Dupre|Brad Winderbaum|Chris Ness|Stephen Broussard|Kevin R. Wright|Kevin R. Wright|Autumn Durald Arkapaw|Kasra Farahani|Kasra Farahani|Paul Zucker|Natalie Holt|Nadia Paine|Christine Wada|Dan Deleeuw|Brad Parker|Allison Paul|Eric Martin|Christopher Townsend|Christopher Townsend|Reg Poerscout-Edgerton|Lillie Jeffrey|Katharyn Blair|Calum Ross|Sallie Hard|Amber Dupre|Bjorn Ole Schroeder|Michele Blood|Jamie Lengyel|Nikki Powell|Nashia Wachsman|Ed Hamilton,12,4,1,2021,84958,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",Loki's time has come.,https://image.tmdb.org/t/p/w500/oJdVHUYrjdS2IqiNztVIP4GPB1p.jpg,https://image.tmdb.org/t/p/w500/N1hWzVPpZ8lIQvQskgdQogxdsc.jpg,8.172,12135,2021-06-09,2023-11-09,2,12,COMPLETE
Star Wars: The Bad Batch,49190,Action|Adventure|Science-Fiction,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,,28,44320,English,Ended,United States,8,,97,Animation,Michelle Ang|Dee Bradley Baker|Dee Bradley Baker|Dee Bradley Baker|Dee Bradley Baker|Dee Bradley Baker|Archie Panjabi,Omega|Wrecker|Hunter|Echo|Tech|Crosshair|Depa Billaba,Jennifer Corbett|Jennifer Corbett|Dave Filoni|Dave Filoni|Dave Filoni|Carrie Beck|Kevin Kiner|Brad Rau|Athena Portillo|Alex Spotswood|Josh Rimes,47,1,0,2021,105971,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,It is time for the new Era.,https://image.tmdb.org/t/p/w500/cDQAvfgAqnKuklerrZylZr6PCQa.jpg,https://image.tmdb.org/t/p/w500/sjxtIUCWR74yPPcZFfTsToepfWm.jpg,8.179,1099,2021-05-04,2024-05-01,3,47,COMPLETE
It's Always Sunny in Philadelphia,347,Comedy,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",30,30,38568,English,Running,United States,8,,100,Scripted,Rob McElhenney|Charlie Day|Kaitlin Olson|Glenn Howerton|Danny DeVito,"Ronald ""Mac"" McDonald|Charles ""Charlie"" Kelly|Deandra ""Sweet Dee"" Reynolds|Dennis Reynolds|Frank Reynolds","Matt Shakman|Matt Shakman|Matt Shakman|Rob Rosell|Rob Rosell|Rob Rosell|Luvh Rakhe|Luvh Rakhe|Nina Pedrad|Glenn Howerton|Glenn Howerton|David Hornsby|David Hornsby|David Hornsby|Megan Ganz|Megan Ganz|Fred Savage|Becky Mann|Audra Sielaff|Cormac Bluestone|Rob McElhenney|Rob McElhenney|Rob McElhenney|Sonny Lee|Patrick Walsh|John Fortenberry|Bobby Bowman|Matteo Borghese|Rob Turbovsky|Michael Rotenberg|Hunter Covington|Hunter Covington|Hunter Covington|Jeff Luini|Jeff Luini|Jeff Luini|Nick Frenkel|Charlie Day|Scott Marder|Scott Marder|Scott Marder|Katie McElhenney|Dave Chernin|Dave Chernin|Dave Chernin|Dave Chernin|John Chernin|John Chernin|John Chernin|John Chernin|Todd Biermann|Heath Cullens|Lance Krall|Owen Ellickson|Danielle Schneider|Danielle Schneider|Danielle Schneider|Josh Silberman|Josh Silberman|Eric Ledgin|Eric Ledgin|Stephen McCabe |Thea Samuels |Kier Lehman|Wendy O'Brien|Mike Marchain|Lyndsey Baldasare|Dannah Phirman|Dannah Phirman|Dannah Phirman|Conor Galvin|Conor Galvin|Jon Silberman|Jon Silberman|Jeanne McCarthy|Jeffrey Gafner|Victor Hsu|Victor Hsu|Victor Hsu|Peter Smokler|Audrey Clark Austin|Josh Schneider|Andy Gowan|Steve Griffen|Adrian Van Velsen|Tim Roche|Tim Roche|Natasha Cuba|Joe Deveau|Valdar Wilt|John Howell Harris|Donna Hattin|John Tanzer|Josh Drisko|Josh Drisko|Scott Cobb|Robert Bramwell|Ray Espinola, Jr.|Jeff Clark|Bruce Michaels|Patrick Burns|Patrick Burns|Claire Kaplan|Michael Scott Cobb|Sean Palsgaard|Sean Palsgaard|Bryan Swarberg|Sabrina Rosen|Jared Marshack|Bruce Hill|Michael Risoli|Alejandro Mora|Keyonna Taylor|Emily Hogan|James Cartwright|Heinz Kiessling|Ross Maloney|Rebecca Edwards|Thomas Lofaro|Thomas Lofaro|Thomas Lofaro|Thomas Lofaro|Abby Roll|Jacob Mullen",171,5,1,2021,2710,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",More Gang for your buck.,https://image.tmdb.org/t/p/w500/o0tMMK33JqmtpcWw0H41cEr9xQB.jpg,https://image.tmdb.org/t/p/w500/uqTCaYBoSLT9MAdyQ9tU6QyCZ3A.jpg,8.279,1251,2005-08-04,2025-08-20,17,177,COMPLETE
Modern Family,80,Comedy|Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",30,30,40079,English,Ended,United States,7.7,,98,Scripted,Ed O'Neill|Sofía Vergara|Julie Bowen|Ty Burrell|Jesse Tyler Ferguson|Eric Stonestreet|Rico Rodriguez|Nolan Gould|Sarah Hyland|Ariel Winter|Aubrey Anderson-Emmons|Jeremy Maguire|Reid Ewing,Jay Pritchett|Gloria Delgado-Pritchett|Claire Dunphy|Phil Dunphy|Mitchell Pritchett|Cameron Tucker|Manny Delgado|Luke Dunphy|Haley Dunphy|Alex Dunphy|Lily Tucker-Pritchett|Joe Pritchett|Dylan Marshall,Jack Burditt|Andrew Gordon|Jason Winer|Steven Levitan|Steven Levitan|Jeff Morton|Jeff Morton|Abraham Higginbotham|Abraham Higginbotham|Jeffrey Richman|Jeffrey Richman|Danny Zuker|Danny Zuker|Bill Wrubel|Bill Wrubel|Brad Walsh|Brad Walsh|Paul Corrigan|Paul Corrigan|Dan O'Shannon|Dan O'Shannon|Ben Karlin|Emily Spivey|Ilana Wernick|Ilana Wernick|Megan Ganz|Chris Smirnoff|Chris Smirnoff|Joe Lawson|Alex Herschlag|Kyle Weber|Elaine Ko|Elaine Ko|James Bagdonas|Morgan Murphy|Chuck Tatham|Stephen Lloyd|Jon Pollack|Jon Pollack|Christy Stratton|Sally Young|Vali Chandrasekaran|Christopher Lloyd|Christopher Lloyd|Christopher Lloyd|Ryan Walls|Ryan Walls|Mariel Paniagua|Mariel Paniagua|Rachael Field|Jeff Greenberg|Dean Okrand|Brian R. Harman|Penny Harold|Stephen A. Tibbo|Giselle Murillo|Allen Hooper|Gabriel Mann|Helena Lamb|Caroline Williams|Nestor Policarpio|Claire Bennett|Christian Miglio|Jerry Lafuente|Peter Bawiec|Jason Z. Kemp|Matt Baker|Ceci Mak|Pamela Withers Chilton,250,4.5,2,2021,1421,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.","One big (straight, gay, multi-cultural, traditional) happy family.",https://image.tmdb.org/t/p/w500/klL4yhwiU8aF4AuF5dCfJA9sRnS.jpg,https://image.tmdb.org/t/p/w500/nO7EzksrBzlNpAg5rgv8HzaBIkx.jpg,7.892,3152,2009-09-23,2020-04-08,11,250,COMPLETE
What If...?,41750,Action|Adventure|Science-Fiction,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",,31,44419,English,Ended,United States,7.1,,99,Animation,Jeffrey Wright|Hayley Atwell|Sebastian Stan|Samuel L. Jackson|Mick Wingert|Josh Keaton|Chris Hemsworth|Lake Bell|Benedict Cumberbatch|Mark Ruffalo|Tom Hiddleston|Seth Green|Karen Gillan|Jeremy Renner|Taika Waititi|Danai Gurira|Kenna J. Ramsey|Frank Grillo|Alexandra Daniels|Chadwick Boseman|Jon Favreau|Kat Dennings|Ross Marquand|Devery Jacobs|Jason Isaacs|Josh Brolin|John Slattery|Dominic Cooper|Toby Jones|Jeff Goldblum|Matt Friend|Michael Rooker|Kurt Russell|Tom Vaughan-Lawlor|Clark Gregg|Rachel House|Clancy Brown|D.C. Douglas|Darin dePaul|Michael B. Jordan|Paul Rudd|Michael Douglas|Stanley Tucci|Kari Wahlgren|Ophelia Lovibond|John Kani|Jaimie Alexander|Benedict Wong|David Chen|Leslie Bibb|Emily VanCamp|Kiff VandenHeuvel|Cobie Smulders|Cynthia Kaye McWilliams|Fred Tatasciore|Laurence Fishburne|Gene Farber|Tessa Thompson|Elizabeth Olsen|Jeff Bergman|Cate Blanchett|Feodor Chin|David Harbour|Simu Liu|Alison Sealy-Smith|Natasha Lyonne|Sean Gunn|Natalie Portman|David Dastmalchian|Djimon Hounsou|Chris Sullivan|Bradley Whitford|Ross Marquand|Darrell Hammond|Benicio Del Toro|Carrie Coon|Rachel McAdams|Tilda Swinton|Ike Amadi|Paul Bettany|Evangeline Lilly|Hudson Thames|Angela Bassett|Andy Serkis|Don Cheadle|Paul Bettany|Ross Marquand|Georges St-Pierre|Jude Law|Peter Serafinowicz|Julianne Grossman|Atandwa Kani|Madeleine McGraw|Mace Montgomery Miskel|Keri Tombazian|Sam Rockwell|Matthew Waterson|Isaac Robinson-Smith|Ross Marquand|Rachel Weisz|Kiawentiio|Jeremy White|Gabriel Romero|Carolina Ravassa|Lauren Tom|Idris Elba|Michael Hagiwara|Liv Zamora|Anthony Mackie|Teyonah Parris|Oscar Isaac|Kari Wahlgren|Brittany Adebumola|Kathryn Hahn|Kumail Nanjiani|James D'Arcy|David Kaye|America Ferrera|Piotr Michael|Jared Butler|Steve French|Andrew Morgado|Darin dePaul|Hamish Parkinson|Dominique Thorne|Alejandro Saab|Michelle Wong|Hailee Steinfeld|Wyatt Russell|Meng'er Zhang|Walton Goggins|Deng Lun,Uatu the Watcher|Peggy Carter / Captain Carter|Bucky Barnes / The Winter Soldier|Nick Fury|Tony Stark / Iron Man|Steve Rogers / Captain America|Thor|Natasha Romanoff / Black Widow|Stephen Strange / Doctor Strange|Bruce Banner / Hulk|Loki|Howard the Duck|Nebula|Clint Barton / Hawkeye|Korg|Okoye|Okoye|Brock Rumlow|Carol Danvers / Captain Marvel|T'Challa|Happy Hogan|Darcy Lewis|Ultron|Kahhori|The Eminence|Thanos|Howard Stark|Howard Stark|Arnim Zola|Grandmaster|Grandmaster|Yondu Udonta|Ego|Ebony Maw|Agent Phil Coulson|Topaz|Surtur|The Incarnate|The Executioner|Erik Stevens / Killmonger|Scott Lang / Ant-Man|Hank Pym|Dr. Abraham Erskine|Carina|Carina|T'Chaka|Lady Sif|Wong|Wong|Christine Everhart|Sharon Carter|Obadiah Stane|Maria Hill|Gamora|Groot|Bill Foster|Vasily Karpov|Valkyrie|Wanda Maximoff / Scarlet Witch|Odin|Hela|Xu Wenwu|Alexei Shostakov / Red Guardian|Shang-Chi|Storm|Byrdie|Kraglin Obfonteri|Jane Foster|Kurt|Korath the Pursuer|Taserface|Colonel John Flynn|Johann Schmidt / Red Skull|Nazi General|Taneleer Tivan / The Collector|Proxima Midnight|Christine Palmer|The Ancient One|O'Bengh|Vision|Hope Van Dyne / Wasp|Peter Parker / Spider-Man|Queen Ramonda|Ulysses Klaue|Rhodey|Jarvis|Sub-Ultron Sentries|Batroc|Yon-Rogg|Garthan Saal|Nova Prime / Irani Rael|King T'Chaka / Black Panther|Young Hope Van Dyne|Young Peter Quill|Wendy Lawson / Mar-Vell|Justin Hammer|Rusty|Sergei|W.E.R.N.E.R.|Melina Vostokoff|Wáhta|Atahraks|Conquistador Gonzolo|Queen Isabella of Spain|Jiayi|Heimdall|Shunyuan|Young Hela|Sam Wilson|Monica Rambeau|Moon Knight|Melina Vostokoff|Nakia|Agatha Harkness|Kingo|Edwin Jarvis|Arishem|Ranger Morales|General Dreykov|Kaecilius|Malekith|Laufey|Zeus|Beerbot 5000|Riri Williams|Quentin Beck / Mysterio|Ying Nan|Kate Bishop / Hawkeye|John Walker|Xialing|Sonny Burch|Kwai Jun-Fan,A.C. Bradley|A.C. Bradley|Louis D'Esposito|Kevin Feige|Bryan Andrews|Carrie Wassenaar|Victoria Alonso|Brad Winderbaum|Dana Vasquez-Eberhardt|Danielle Costa,26,3,1,2021,91363,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",One question changes everything.,https://image.tmdb.org/t/p/w500/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,https://image.tmdb.org/t/p/w500/jnzoh5qoxRLFRIQAxnl6D3RStPC.jpg,8.075,4509,2021-08-11,2024-12-29,3,26,COMPLETE
Sex Education,36795,Drama|Comedy|Romance,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,,55,43476,English,Ended,United States,7.7,,97,Scripted,Asa Butterfield|Gillian Anderson,Otis Milburn|Dr. Jean Milburn,Jamie Campbell|Ben Taylor|Simon Morris|Jon Jennings|Neil Collymore|Douglas Sinclair|Oli Julian|Matt Biffa|Lauren Evans|Laurie Nunn|Laurie Nunn|Siân Robins-Grace|Jamie Cairney|Samantha Harley|Steve Ackroyd|Ezra Furman|Bryn Thomas|Sophie Goodhart|Callum Devrell-Cameron|Nick Brown|Emma Parsons|Clare Couchman,32,3,1,2021,81356,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,Growth is a group project.,https://image.tmdb.org/t/p/w500/bc3bmTdnoKcRuO9xdQKgAbB7Y9Z.jpg,https://image.tmdb.org/t/p/w500/u23G9KZregWHs1use6ir1fX27gl.jpg,8.218,7680,2019-01-11,2023-09-21,4,32,COMPLETE
Kota Factory,49403,Drama|Comedy|Romance,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,39,43571,Hindi,Running,India,9,,69,Scripted,Jitendra Kumar|Mayur More|Ranjan Raj|Alam Khan|Ahsaas Channa|Revathi Pillai|Urvi Singh|Vaibhav Thakkar|Shivankit Singh Parihar|Tillotama Shome|Joy Chakravorty|Priyanshu Painyuli|Arun Kumar|Deepak Kumar Mishra,Jeetu Bhaiya|Vaibhav Pandey|Balmukund Meena|Uday Gupta|Shivangi Ranawat|Vartika Ratawal|Meenal Parekh|Sushrut|Deepak|Priya|Arun|Gagan|Aditya|Anand,Saurabh Khanna|Raghav Subbu|Shreyansh Pandey|Sameer Saxena|Akash Kumar|Puneet Batra,15,4,1,2021,89113,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,https://image.tmdb.org/t/p/w500/fMBookmwL6HjIgIVTjQ6EMr3pCH.jpg,https://image.tmdb.org/t/p/w500/mQEmKXSFlzBlSoYgut0VfjxAzoA.jpg,8.069,109,2019-04-16,2024-06-20,3,15,COMPLETE
Aspirants,55489,Drama,"Aspirants is a story of 3 friends - Abhilash, SK, and Guri. The story takes place in the past and the present where the past captures the struggle and the drama behind the making of UPSC CSE aspirants in Old Rajinder Nagar of Delhi, while the present talks about the aftermath. It is the story of three UPSC aspirants journey.",,44,44293,Hindi,Ended,India,9.2,,58,Scripted,Naveen Kasturia|Shivankit Parihar|Sunny Hinduja|Abhilash Thapliyal|Namita Dubey,"Abhilash Sharma|Gurpreet ""Guri"" Singh|Sandeep Ohlan|Shwetketu ""SK"" Jha|Dhairya Singh",Arunabh Kumar|Shreyansh Pandey,10,3,1,2021,124411,"Aspirants is a story of 3 friends - Abhilash, SK, and Guri. The story takes place in the past and the present where the past captures the struggle and the drama behind the making of UPSC CSE aspirants in Old Rajinder Nagar of Delhi, while the present talks about the aftermath. It is the story of three UPSC aspirants journey.",PRE… MAINS… AUR LIFE,https://image.tmdb.org/t/p/w500/eHE0q1hhUnVkfJlZ22bSQqZeLKn.jpg,https://image.tmdb.org/t/p/w500/suXX4sFFgUGMv47jCibP4hhsmN7.jpg,7.556,62,2021-04-07,2023-10-25,2,10,COMPLETE
Death Note,40,Anime|Fantasy|Thriller,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",30,30,38993,Japanese,Ended,Japan,8.8,,95,Animation,Mamoru Miyano|Shidō Nakamura|Kappei Yamaguchi|Aya Hirano|Noriko Hidaka,Light Yagami|Ryuk|L|Misa Amane|Near,Takeshi Obata|Tsugumi Ooba,37,4.5,1,2021,13916,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",,https://image.tmdb.org/t/p/w500/tCZFfYTIwrR7n94J6G14Y4hAFU6.jpg,https://image.tmdb.org/t/p/w500/mOlEbXcb6ufRJKogI35KqsSlCfB.jpg,8.6,4643,2006-10-04,2007-06-27,1,37,COMPLETE
